Fish #,Latitude,Longitude,Length,Mark Tag#,,,,
1,65.3744,-147.0936,278,1,,,,
2,65.3744,-147.0936,272,3,,,,
3,65.3744,-147.0936,260,4,,,,
4,65.3744,-147.0936,297,5,,,,
5,65.3744,-147.0936,253,6,,,,
6,65.3765,-147.0946,309,7,,,,
7,65.3765,-147.0946,251,8,,,,
8,65.3765,-147.0946,280,9,,,,
9,65.3765,-147.0946,271,10,,,,
10,65.3817,-147.1021,255,11,,,,
11,65.3827,-147.1059,260,12,,,,
12,65.3833,-147.1100,258,13,,,,
13,65.3887,-147.1367,252,14,,,,
14,65.3887,-147.1367,250,15,,,,
15,65.3887,-147.1367,271,16,,,,
16,65.3887,-147.1367,257,17,,,,
17,65.3887,-147.1367,254,18,,,,
18,65.3887,-147.1367,267,19,,,,
19,65.3887,-147.1367,256,20,,,,
20,65.3887,-147.1367,272,21,,,,
21,65.3887,-147.1367,254,22,,,,
22,65.3887,-147.1367,295,25,,,,
23,65.3887,-147.1367,277,26,,,,
24,65.3887,-147.1367,250,27,,,,
25,65.3887,-147.1367,255,28,,,,
26,65.3887,-147.1367,249,29,,,,
27,65.3887,-147.1367,281,30,,,,
28,65.3920,-147.1508,290,31,,,,
29,65.3920,-147.1508,259,32,,,,
30,65.3948,-147.2015,252,33,,,,
31,65.3948,-147.2015,303,34,,,,
32,65.3948,-147.2015,283,35,,,,
33,65.3948,-147.2015,273,36,,,,
34,65.3928,-147.2183,280,37,,,,
35,65.3928,-147.2183,250,38,,,,
36,65.3928,-147.2183,250,39,,,,
37,65.3915,-147.2409,264,40,,,,
38,65.3915,-147.2409,251,41,,,,
39,65.3915,-147.2409,312,42,,,,
40,65.3915,-147.2409,255,43,,,,
41,65.3915,-147.2409,252,44,,,,
42,65.3915,-147.2409,284,45,,,,
43,65.3902,-147.2459,250,47,,,,
44,65.3902,-147.2459,271,48,,,,
45,65.3902,-147.2459,257,49,,,,
46,65.3902,-147.2459,265,50,,,,
47,65.3902,-147.2459,297,75,,,,
48,65.3902,-147.2459,256,74,,,,
49,65.3886,-147.2447,264,73,,,,
50,65.3886,-147.2447,315,72,,,,
51,65.3886,-147.2447,289,51,,,,
52,65.3864,-147.2535,295,52,,,,
53,65.3864,-147.2535,255,53,,,,
54,65.3855,-147.2686,285,55,,,,
55,65.3855,-147.2686,264,56,,,,
56,65.3881,-147.2777,265,57,,,,
57,65.3881,-147.2777,260,58,,,,
58,65.3881,-147.2777,304,59,,,,
59,65.3881,-147.2777,285,60,,,,
60,65.3844,-147.3308,288,61,,,,
61,65.3844,-147.3308,262,62,,,,
62,65.3844,-147.3308,280,63,,,,
63,65.3840,-147.3346,315,64,,,,
64,65.3840,-147.3346,257,66,,,,
65,65.3840,-147.3346,265,68,,,,
66,65.3840,-147.3346,292,69,,,,
67,65.3840,-147.3346,312,70,,,,
68,65.3840,-147.3346,261,71,,,,
69,65.3840,-147.3346,270,76,,,,
70,65.3840,-147.3346,254,77,,,,
71,65.3840,-147.3346,268,78,,,,
72,65.3840,-147.3346,297,79,,,,
73,65.3840,-147.3346,300,80,,,,
74,65.3840,-147.3346,264,81,,,,
75,65.3834,-147.3361,280,82,,,,
76,65.3834,-147.3361,260,83,,,,
77,65.3827,-147.3435,256,84,,,,
78,65.3827,-147.3435,271,85,,,,
79,65.3827,-147.3435,250,86,,,,
80,65.3827,-147.3435,264,87,,,,
81,65.3827,-147.3435,256,88,,,,
82,65.3855,-147.3536,250,89,,,,
83,65.3855,-147.3536,266,90,,,,
84,65.3855,-147.3536,270,91,,,,
85,65.3855,-147.3536,276,92,,,,
86,65.3855,-147.3536,263,93,,,,
87,65.3855,-147.3536,252,94,,,,
88,65.3855,-147.3536,254,95,,,,
89,65.3855,-147.3536,261,96,,,,
90,65.3855,-147.3536,262,97,,,,
91,65.3855,-147.3536,260,98,,,,
92,65.3855,-147.3536,254,99,,,,
93,65.3855,-147.3536,251,100,,,,
94,65.3855,-147.3536,285,101,,,,
95,65.3873,-147.3615,255,102,,,,
96,65.3873,-147.3615,270,103,,,,
97,65.3873,-147.3615,260,105,,,,
98,65.3873,-147.3615,259,106,,,,
99,65.3845,-147.3636,330,107,,,,
100,65.3845,-147.3636,274,108,,,,
101,65.3845,-147.3636,265,109,,,,
102,65.3845,-147.3636,300,110,,,,
103,65.3845,-147.3636,271,111,,,,
104,65.3845,-147.3636,271,112,,,,
105,65.3845,-147.3636,264,113,,,,
106,65.3845,-147.3636,268,114,,,,
107,65.3845,-147.3636,265,115,,,,
108,65.3845,-147.3636,261,117,,,,
109,65.3813,-147.4202,265,118,,,,
110,65.3813,-147.4202,270,119,,,,
111,65.3820,-147.4219,250,120,,,,
112,65.3802,-147.4280,263,121,,,,
113,65.3798,-147.4283,275,122,,,,
114,65.3790,-147.4291,253,123,,,,
115,65.3790,-147.4291,266,124,,,,
116,65.3790,-147.4291,251,125,,,,
117,65.3790,-147.4291,261,126,,,,
118,65.3790,-147.4291,265,127,,,,
119,65.3790,-147.4291,251,128,,,,
120,65.3786,-147.4299,260,129,,,,
121,65.3786,-147.4299,279,131,,,,
122,65.3786,-147.4299,250,134,,,,
123,65.3786,-147.4299,258,135,,,,
124,65.3786,-147.4299,266,136,,,,
125,65.3786,-147.4299,259,137,,,,
126,65.3779,-147.4348,264,138,,,,
127,65.3779,-147.4348,275,139,,,,
128,65.3779,-147.4348,260,146,,,,
129,65.3779,-147.4348,270,142,,,,
130,65.3779,-147.4348,251,143,,,,
131,65.3807,-147.4405,261,144,,,,
132,65.3807,-147.4405,250,145,,,,
133,65.3807,-147.4405,265,146,,,,
134,65.3807,-147.4405,251,147,,,,
135,65.3809,-147.4448,280,148,,,,
136,65.3809,-147.4448,282,149,,,,
137,65.3809,-147.4448,253,150,,,,
138,65.3809,-147.4448,270,153,,,,
139,65.3809,-147.4448,260,154,,,,
140,65.3774,-147.4471,270,155,,,,
141,65.3768,-147.4583,280,156,,,,
142,65.3784,-147.4621,253,157,,,,
143,65.3813,-147.5146,268,158,,,,
144,65.3813,-147.5146,251,159,,,,
145,65.3813,-147.5146,258,160,,,,
146,65.3813,-147.5146,253,161,,,,
147,65.3788,-147.5105,320,162,,,,
148,65.3788,-147.5105,330,163,,,,
149,65.3788,-147.5105,275,164,,,,
150,65.3788,-147.5105,292,165,,,,
151,65.3788,-147.5105,302,166,,,,
152,65.3788,-147.5105,278,167,,,,
153,65.3788,-147.5105,298,168,,,,
154,65.3788,-147.5105,265,169,,,,
155,65.3788,-147.5105,317,170,,,,
156,65.3788,-147.5105,266,171,,,,
157,65.3788,-147.5105,306,172,,,,
158,65.3788,-147.5105,277,173,,,,
159,65.3788,-147.5105,281,174,,,,
160,65.3788,-147.5105,261,175,,,,
161,65.3788,-147.5105,263,176,,,,
162,65.3788,-147.5105,265,177,,,,
163,65.3788,-147.5105,254,178,,,,
164,65.3794,-147.5224,335,179,,,,
165,65.3794,-147.5224,260,180,,,,
166,65.3794,-147.5224,276,182,,,,
167,65.3794,-147.5224,270,183,,,,
168,65.3794,-147.5224,294,184,,,,
169,65.3794,-147.5224,255,185,,,,
170,65.3794,-147.5224,300,186,,,,
171,65.3794,-147.5224,299,187,,,,
172,65.3794,-147.5224,325,188,,,,
173,65.3794,-147.5224,297,189,,,,
174,65.3794,-147.5224,280,190,,,,
175,65.3794,-147.5224,273,191,,,,
176,65.3794,-147.5224,258,192,,,,
177,65.3794,-147.5224,250,193,,,,
178,65.3794,-147.5224,292,194,,,,
179,65.3794,-147.5224,322,195,,,,
180,65.3794,-147.5224,261,196,,,,
181,65.3794,-147.5224,267,197,,,,
182,65.3794,-147.5224,267,198,,,,
183,65.3794,-147.5224,251,199,,,,
184,65.3794,-147.5224,250,200,,,,
185,65.3794,-147.5224,339,201,,,,
186,65.3794,-147.5224,261,202,,,,
187,65.3759,-147.5260,274,203,,,,
188,65.3803,-147.5559,264,204,,,,
189,65.3767,-147.6555,250,205,,,,
190,65.3767,-147.6555,251,206,,,,
191,65.3767,-147.6555,265,207,,,,
192,65.3767,-147.6555,284,208,,,,
193,65.3767,-147.6555,250,209,,,,
194,65.3779,-147.6599,262,210,,,,
