Fish #,Latitude,Longitude,Length,Recap Tag#,
1,65.3889,-147.1364,256,-,
2,65.3889,-147.1364,283,-,
3,65.3889,-147.1364,302,-,
4,65.3925,-147.1486,265,-,
5,65.3925,-147.1486,282,-,
6,65.3925,-147.1486,304,-,
7,65.3925,-147.1486,254,-,
8,65.3885,-147.1364,275,-,
9,65.3885,-147.1364,265,-,
10,65.3885,-147.1364,253,-,
11,65.3885,-147.1364,252,-,
12,65.3885,-147.1364,295,-,
13,65.3918,-147.1418,251,-,
14,65.3918,-147.1418,261,-,
15,65.3922,-147.1444,275,512,
16,65.3922,-147.1444,253,-,
17,65.3923,-147.1500,307,-,
18,65.3923,-147.1500,261,-,
19,65.3923,-147.1500,255,-,
20,65.3923,-147.1500,301,-,
21,65.3901,-147.1497,252,-,
22,65.3901,-147.1497,252,-,
23,65.3901,-147.1497,283,-,
24,65.3901,-147.1497,285,-,
25,65.3901,-147.1497,290,-,
26,65.3901,-147.1497,263,-,
27,65.3901,-147.1497,392,-,
28,65.3872,-147.1530,270,-,
29,65.3872,-147.1530,262,-,
30,65.3872,-147.1530,250,-,
31,65.3939,-147.1629,279,-,
32,65.3939,-147.1629,274,-,
33,65.3939,-147.1629,251,-,
34,65.3939,-147.1629,253,-,
35,65.3939,-147.1629,252,-,
36,65.3939,-147.1629,264,-,
37,65.3963,-147.1928,266,-,
38,65.3963,-147.1928,303,-,
39,65.3963,-147.1928,251,-,
40,65.3963,-147.1928,250,-,
41,65.3963,-147.1928,251,-,
42,65.3963,-147.1928,280,-,
43,65.3963,-147.1928,288,-,
44,65.3963,-147.1928,264,-,
45,65.3963,-147.1928,269,-,
46,65.3914,-147.2286,310,-,
47,65.3914,-147.2286,291,-,
48,65.3901,-147.1497,263,-,
49,65.3901,-147.1497,256,-,
50,65.3901,-147.1497,261,-,
51,65.3901,-147.1497,258,-,
52,65.3901,-147.1497,283,-,
53,65.3901,-147.1497,257,-,
54,65.3872,-147.1530,311,-,
55,65.3872,-147.1530,259,-,
56,65.3939,-147.1629,274,-,
57,65.3939,-147.1629,333,-,
58,65.3939,-147.1629,267,-,
59,65.3939,-147.1629,255,-,
60,65.3939,-147.1629,298,-,
61,65.3939,-147.1629,318,-,
62,65.3939,-147.1629,297,-,
63,65.3939,-147.1629,271,-,
64,65.3974,-147.1931,252,-,
65,65.3876,-147.1521,255,-,
66,65.3916,-147.1734,255,-,
67,65.3927,-147.1756,333,-,
68,65.3927,-147.1756,284,-,
69,65.3927,-147.1756,365,-,
70,65.3927,-147.1756,272,-,
71,65.3927,-147.1756,250,-,
72,65.3927,-147.1756,275,-,
73,65.3927,-147.1756,313,-,
74,65.3927,-147.1756,285,-,
75,65.3955,-147.1883,272,-,
76,65.3955,-147.1883,295,-,
77,65.3955,-147.1883,260,-,
78,65.3955,-147.1883,315,-,
79,65.3955,-147.1883,290,-,
80,65.3955,-147.1883,300,-,
81,65.3955,-147.1883,304,-,
82,65.3955,-147.1883,288,-,
83,65.3974,-147.1941,272,288,
84,65.3946,-147.1848,303,-,
85,65.3946,-147.1848,353,-,
86,65.3946,-147.1848,268,-,
87,65.3946,-147.1848,292,-,
88,65.3946,-147.1848,261,-,
89,65.3946,-147.1848,334,-,
90,65.3946,-147.1848,261,-,
91,65.3946,-147.1848,334,-,
92,65.3951,-147.1869,304,-,
93,65.3951,-147.1869,259,-,
94,65.3975,-147.1943,313,-,
95,65.3957,-147.1894,252,-,
96,65.3957,-147.1894,278,-,
97,65.3957,-147.1893,283,-,
98,65.3957,-147.1893,311,-,
99,65.3963,-147.1911,255,534,
100,65.3963,-147.1911,256,-,
101,65.3963,-147.1911,273,-,
102,65.3963,-147.1911,250,-,
103,65.3975,-147.1943,313,-,
104,65.3973,-147.1978,278,-,
105,65.3953,-147.2004,301,-,
106,65.3944,-147.2030,254,-,
107,65.3942,-147.2057,289,-,
108,65.3942,-147.2057,268,-,
109,65.3942,-147.2057,287,-,
110,65.3914,-147.2286,255,287,
111,65.3902,-147.2467,291,-,
112,65.3894,-147.1509,360,-,
