Fish #,Latitude,Longitude,Length,Recap Tag#,
1,65.3767,-147.0948,256,-,
2,65.38318,-147.10083,334,-,
3,65.38318,-147.10083,274,-,
4,65.38332,-147.11862,262,-,
5,65.3291,-146.7896,258,1230,
6,65.3291,-146.7896,303,-,
7,65.3291,-146.7896,276,-,
8,65.3291,-146.7896,298,-,
9,65.33045,-146.80064,276,1236,Have to use Mark length as Recap length was written down as 234
10,65.33045,-146.80064,296,-,
11,65.72964,-146.79196,257,-,
12,65.32957,-146.79393,365,-,
13,65.32999,-146.35953,265,-,
14,65.3314,-146.80495,383,1237,
15,65.3314,-146.80495,286,1358,
16,65.3302,-146.80417,270,1238,
17,65.3302,-146.80417,303,-,
18,65.3302,-146.80417,263,-,
19,65.33263,-146.80879,250,-,
20,65.33333,-146.81311,260,-,
21,65.33333,-146.81311,262,-,
22,65.33236,-146.80759,263,-,
23,65.33361,-146.8149,277,-,
24,65.33361,-146.8149,256,-,
25,65.33361,-146.8149,264,-,
26,65.33361,-146.8149,312,-,
27,65.33286,-146.82158,290,-,
28,65.36745,-147.07677,295,1383,
29,65.36532,-147.07964,266,-,
30,65.36806,-147.08379,305,-,
31,65.3294,-146.77994,266,-,
32,65.32973,-146.7774,264,-,
33,65.32993,-146.776,388,-,
34,65.32993,-146.776,274,-,
35,65.32993,-146.776,254,-,
36,65.32936,-146.77457,316,-,
37,65.32936,-146.77457,279,-,
38,65.32936,-146.77457,251,-,
39,65.32936,-146.77457,277,-,
40,65.33025,-146.77492,288,-,
41,65.33025,-146.77492,310,1235,
42,65.33056,-146.77328,294,-,
43,65.33056,-146.77328,340,-,
44,65.33057,-146.77301,316,-,
45,65.33057,-146.77301,259,-,
46,65.33023,-146.76677,378,-,
47,65.33051,-146.75932,262,-,
48,65.33051,-146.75932,287,-,
49,65.33064,-146.75768,384,-,
50,65.33186,-146.75513,319,-,
51,65.33176,-146.75223,357,-,
52,65.33416,-146.82776,292,-,
53,65.33475,-146.82988,343,-,
54,65.33475,-146.82988,274,-,
55,65.33352,-146.83615,261,-,
56,65.33352,-146.83615,283,-,
57,65.33352,-146.83615,295,-,
58,65.33352,-146.83615,266,-,
59,65.33352,-146.83615,310,751,
60,65.33352,-146.83615,319,-,
61,65.33352,-146.83615,280,1260,
62,65.3332,-146.83977,309,1264,
63,65.3332,-146.83977,273,-,
64,65.3332,-146.83977,304,1246,
65,65.33346,-146.84151,297,-,
66,65.33346,-146.84151,364,1266,
67,65.33427,-146.84384,378,1270,
68,65.33427,-146.84384,319,-,
69,65.33427,-146.84384,268,-,
70,65.33475,-146.84778,263,-,
71,65.33475,-146.84778,295,-,
72,65.33475,-146.84778,285,-,
73,65.33566,-146.85075,255,1290,
74,65.33566,-146.85075,348,1289,
75,65.33566,-146.85075,260,-,
76,65.33566,-146.85075,366,1287,
77,65.33566,-146.85075,278,-,
78,65.33566,-146.85075,274,-,
79,65.33468,-146.85326,308,-,
80,65.3665,-146.5934,294,-,
81,65.3593,-146.6108,332,-,
82,65.3529,-146.6262,404,-,
83,65.352,-146.6337,278,-,
84,65.352,-146.6337,366,-,
85,65.352,-146.6337,374,-,
86,65.352,-146.6337,271,-,
87,65.3512,-146.6384,283,-,
88,65.3512,-146.6384,296,-,
89,65.3513,-146.6423,291,-,
90,65.3513,-146.6423,274,-,
91,65.3505,-146.6466,319,-,
92,65.3479,-146.6719,365,1416,
93,65.3479,-146.6719,297,-,
94,65.3479,-146.6719,302,-,
95,65.3473,-146.6733,311,1404,
96,65.35661,-147.01782,280,1058,
97,65.3582,-147.02878,275,1078,
98,65.35745,-147.03207,281,-,
99,65.36668,-147.05833,266,-,
100,65.36785,-147.06233,283,-,
101,65.36781,-147.06276,253,1369,
102,65.36697,-147.06717,262,-,
103,65.36697,-147.06717,270,1375,
104,65.367,-147.06905,277,-,
105,65.367,-147.06905,292,-,
106,65.36692,-147.07019,275,-,
107,65.36692,-147.07019,260,-,
108,65.36692,-147.07072,251,-,
109,65.3672,-147.07158,305,-,
110,65.3672,-147.07158,261,-,
111,65.36667,-147.07191,290,-,
112,65.3354,-146.8642,309,-,
113,65.33595,-146.86452,300,-,
114,65.33595,-146.86452,302,-,
115,65.33637,-146.86548,281,1249,
116,65.33519,-146.86742,275,-,
117,65.33572,-146.88363,296,1193,
118,65.33572,-146.88363,310,1191,
119,65.3355,-146.88432,317,-,
120,65.3476,-147.9976,268,1005,
121,65.3476,-147.9976,285,-,
122,65.34743,-147.00131,372,-,
123,65.34956,-147.00363,272,-,
124,65.34956,-147.00363,250,1011,
125,65.3511,-147.00227,293,-,
126,65.3511,-147.00227,253,-,
127,65.3519,-147.00423,317,-,
128,65.35141,-147.00757,260,1023,
129,65.35141,-147.00757,295,-,
130,65.35141,-147.00757,286,-,
131,65.35141,-147.00757,304,-,
132,65.35141,-147.00757,274,-,
133,65.35141,-147.00757,263,836,
134,65.35141,-147.00757,276,-,
135,65.35146,-147.01239,274,1027,
136,65.35719,-147.01328,291,1030,
137,65.35219,-147.01447,294,-,
138,65.35219,-147.01447,287,-,
139,65.35219,-147.01447,254,1035,
140,65.35219,-147.01447,285,-,
141,65.35219,-147.01447,271,-,
142,65.35219,-147.01447,277,1032,
